algorithm,problem,dimensions,best_fitness,avg_fitness,diversity,execution_time
GA,rosenbrock,2,0.0014490490659130675,3.505356411787018,0.10407438827343685,0.7148172855377197
GA,rosenbrock,30,31.19232332953457,139.02449410184397,0.14657757137957853,1.1580066680908203
GA,rosenbrock,100,288.0435050973435,637.4928728068118,0.1630662375283043,2.61711049079895
TLBO,sphere,100,8.063999923714679e-166,1.3847302388946922e-165,4.5599404798395084e-83,13.960984230041504
DE,rosenbrock,2,0.0,0.0,0.0,5.139675855636597
DE,rosenbrock,30,143.50674483959398,241.1521946098654,0.2605625223451308,4.876572847366333
CS,rastrigin,2,2.5910010847951526e-07,9.683954735389115,1.5822454690347008,13.128626108169556
PSO,rosenbrock,2,1.7219895329257063e-22,2.4040789999845144e-07,3.366575385915916e-05,0.381641149520874
PSO,rosenbrock,30,22.588805342567248,25.904818726641174,0.015527479908018397,0.7028193473815918
CS,rastrigin,30,93.11439430954366,211.09094109212234,1.5100832615867719,13.733888149261475
DE,rosenbrock,100,2607.7560447748187,3560.4173863966575,0.34769879905783696,6.047635555267334
SA,rosenbrock,2,1.281745905476287e-05,1.0911785035445274,0.7504392833255065,11.69750452041626
PSO,rosenbrock,100,390.3872079622649,408.1836023545105,0.031552254964400686,1.3290607929229736
SA,rosenbrock,30,513.1531854006992,2759.1232802419386,0.8178548808406345,13.68083930015564
ABC,rastrigin,30,4.366427219792968e-09,5.265568607390215,0.3840065604807954,23.64353346824646
ABC,rastrigin,2,0.0,0.46939713510016773,0.3926411947161772,25.75793766975403
SA,rosenbrock,100,20254.2986186276,28850.82355458817,1.0359493369750168,18.43678045272827
CA,rastrigin,2,0.0,0.0,3.035953105875653e-09,24.48826813697815
GSA,sphere,30,2.1826163909432394,2.1826165554196013,7.045464137869744e-05,31.247164964675903
GSA,sphere,2,3.4709009216257963e-06,1.816519504695841,0.9425119154319281,31.938398599624634
GSA,sphere,100,27.015538027372287,27.015538169785106,3.533279600513731e-05,32.302552700042725
TLBO,rosenbrock,2,0.0,0.0,0.0,13.582538366317749
ABC,rosenbrock,2,0.0023915480142685684,0.1765582917273132,0.09043196653451362,20.83009123802185
ABC,rosenbrock,30,14.129139606809451,82.40196427237396,0.395267971067704,21.19617199897766
ABC,rosenbrock,100,242.67890260736337,706.2815745185953,0.38136294809065396,21.317177295684814
TLBO,rosenbrock,30,22.70093967310478,22.702715269724944,0.0035000536607985,15.186094760894775
CA,rastrigin,30,95.67831612997654,95.6788188924546,1.905586143724502e-05,32.98187589645386
TLBO,rosenbrock,100,93.91049180411649,93.91063516282611,0.0010772057062669576,19.307501792907715
FA,rastrigin,2,8.100187187665142e-13,23.16245440171821,1.8192549908611118,59.87790060043335
FA,rastrigin,30,305.1229907380545,525.2880770563652,2.8994600586096557,60.51903176307678
SFO,rosenbrock,2,1.4837277923278717e-06,604.3721044365758,2.340605111643258,53.94097828865051
SFO,rosenbrock,30,224.5447795309964,445.7506616064217,1.7253546239071755,54.77031064033508
SFO,rosenbrock,100,495.1603018433295,674.1942239518737,1.7198521055851879,56.12287950515747
